,id,comment_text,score,toxic,severe_toxic,obscene,threat,insult,identity_hate
3143,3acaf322ce972864,"""== How To Get a ELITE in Rainbow Six Vegas 2 == 

 In This Tutorial i will teach you how to get the RANK ELITE in Rainbow Six Vegas 2. 

 Ok first off this take two people to do. so you will need to have you and a freind to help you 

 1. Start up a CO-OP private match on PYRENEES - Ambush Checkpoint. Make the diffaculty REALISTIC. 

 2. start the game up and wait at the Equiptment boxes for your freind to arive to the game. your both going to have to get assault rifles with a 6x Scope.  
 doesnt matter which ones i used the AK-47 and G36A4. Choice is yours. and get full nades but """"DONT THROW FRAGS YOU WILL NEED THEM"""" 

 3. Now your going to have to do a little killing first. so exit the room and there is a open area to your right you will have to clear out.  
 Do that then proceed through the doors. now your inside clear out this building and proceed up the stairs until your outside ounce again. 
 now your almost there clear out the open area in front of that building then proceed inside and clear it out. 

 4. Now ounce your inside the building (This is the part where you have to you have to send your team to diffuse the bomb) 
 first kill the two guards by the bomb and then YOU and FREIND go stand by the bomb. then tell FREIND to stand dirctly behind the bomb 
 and look up at the turret on the catwalk (above the door you entered) now order your team to disarm the bomb ounce u do that throw a frag grenade 
 at the door directly behind the bomb you should get 2 kills. NOW IT HAS BEGUN. 

 now your probably thinking damn that is alot of shit. BUT it isnt that above takes 10 minutes MAX if your not garbage.  
 So just follow those steps and then pick up here. 

 Now ounce you have thrown the nade there is going to be 1 guy that constantly respawns by that turret on the catwalk. Soon as u kill him 
 he will keep popping up forever. but the trick is that ur FREIND cannot move.  
 he has to stay by the bomb at all times (if he moves it will get defused and the mission caries on so STAY BY THE BOMB). now YOU move up closer so  
 you can spawn kill him (like halo2 modding spawn kill LOL) just hold the trigger down where his head will pup up. i prefer you put your gun on SINGLE SHOT 
 becasue thats 31 bullets = 310 points. (in 10 seconds HaHa). now ounce u reload that where your freind comes in while your reloading he covers your ass  
 that is his only role until you run out of ammo then you switch and cover him with your pistol. now ounce both of you run out of ammo  
 START>RELOAD CHECKPOINT (this puts you back in front of this room with your ammo refilled) so you can do it all over again. 

 also it will get laggy because the FRAME RATE on Rainbow is 30fps. so when your reloading run over to the bomb (like hump it) move around next to it  
 this make the bodies up top disappear and it wont lag until your next clip is done. THATS IT Just keep repeating until your done...  

 YOU ARE ON YOUR WAY TO ELITE NOW! Just so you know i did this for a about 3 Hours 2 days in a Row and im now a ELITE.  
 So it does work. your getting like 20,000 points every 15 minutes ounce you get good at it. so GOOD LUCK. 

 TUTORIAL WRITTEN BY TravisB18.""",0.71316344,0,0,0,0,0,0
3145,8786aac25b3635bf,", 8 November 2007 (UTC) 

 All I can say is, having read that diatribe at anus.com, that it has about as much value as things that usually come out of anuses. 02:57",0.7902174,0,0,0,0,0,0
3158,6ab3a381cb684708,When this guy says I'm not on the Olympic debate team and I didn't take it over for 6.7 billion #bullshit,0.9017669,1,0,1,0,0,0
3163,856c36f7985639dd,"Rape a stoat, beneath your coat, 
 Motorboat a pregnant goat, 
 Orgy at the zoooooo!! D",0.8589545,1,0,0,0,0,0
3166,4d12b980bff726db,"This guy has chronic vaginitis..........i mean boxercise, what a pussy",0.9590364,1,0,1,0,1,0
3168,044728b1c5f1ca48,"There was no warthog like that in halo 2, your a fucking retard.  22 July 2007 (UTC)",0.9641024,1,0,1,0,1,0
3177,cbc7ec43db67d779,""". 

 If it is such a waste of """"precious dick space"""" then how did you come to find it. Jackass""",0.92082316,1,0,1,0,1,0
3182,e9d654af75786a43,"== What's the purpose of the AA page? == 

 I guess for me, that page is garbage!  I read it, and didn't see any purpose for it.  Furthermore, I read through the talk page, and that didn't explain the purpose for this page.  So, maybe you can tell me, What is primary focus of this AA page? And, trust me, I don't go around vandalizing pages.  However, that AA page is complete garbage! And, it needs to be wiped off of Wikipedia.  It does nothing but insult the intelligence of black people.",0.8051083,0,0,0,0,0,0
3183,981a0a4313dd417b,edgar181 like the dick in his mouth,0.97274745,1,0,1,0,0,0
3185,4603280e387d1b98,""" 

 == The Obbles and Ninos. == 

 The term """"Obble"""", (latin name; maximus), are a unique species of retardism throughout the culture of fucked up animals. They, themselves, created the stupidity of humans to create world domination on attacking with Disco Sticks. The Obbles are vegetarian, which feed on Haribo and Dr. Pepper, without their sperm cells being destroyed on their daily feeds. They have over average sized genitals, allowing any creature and species to enjoy the intercourse, without denial. Obbles are relatives to the """"Nino"""" family, relating to the world of Unicorns and Sarcasm (see next definition). Nino's and Obble's get on very well with each other, the Nino's have the giant Disco Sticks whereas the Obbles have the Vertigo Sticks. The Nino and the Obble family have their own names linking with the family name. They are: Cobble, Popple, Erinino and Astinino. Erinino and Astinino are secretley dating, whereas Cobble and Popple are inbred. As well as the retardism, they enjoy the fascination of the Unicorns' horns to complete their satisfactory living. Erinino """"Nino"""", has a disability of her faeces being able to flush down the Obble toilet. They have constant arguments about this case, considering the Nino's have a different way of urination. Astinino """"Nino"""", also has a disability. His constant agrigation of saying """"derp"""" continuously disrupts the earth. He also is gay, and the son of Utahsjdjksnino. Obbles and Nino's average life span is 0-69999 years old, to die in a sex position. (Fucking great way of death!). Until more investigation and discovery, we will continue and update this page. Thank you for reading, go die.""",0.7697947,0,0,0,0,0,0
3193,776075894fb2ff40,:Thanks for telling me. What a jerk that person is! I've passed the information along to HelloAnnyong.,0.87962157,1,0,1,0,1,0
3200,4668fa329d2365cd,""" 
 :::::"""" it's literally frozen shit covered beef bits."""" you opinion is noted and VERY POV. im just asking that re remove the POV so people can get information not opinions.   """,0.69542736,0,0,0,0,0,0
3203,128c35e485961aed,Ciara's new album sucks!!! dont buy please and new tune is featurin beyoncer,0.8479421,1,0,0,0,1,0
3209,7fe9ba4f338519a7,This is about me i am very cool. But you are stupid. I am rich and i own a mansion and a limo. YOU PEOPLE ARE STUPID,0.94998366,1,0,1,0,1,0
3214,f26a90109f213a12,Please kill me I live in your town next door to your house,0.9017186,0,0,0,0,0,0
3228,90ff45c79495315f,""" 

 :please take the time to review this page's history, and notice that within two minutes of me leaving the comment above, an admin had swooped in, also leaving an inappropriate comment on my user page! too poetic. meanwhile, look at the article. aren't the articles the reason for the superstructure? correction to what i wrote above: the laziest, most worthless """"editing"""" one can do is NPA/language babysitting and control-freaking. wikipedia admin culture is laughably inept. this article was hammered all month, and did you see admins fretting so? not a chance. what a disaster this place is. nanny-boo bureaucrats with jangly key rings. i'm the one who expanded this article from a good stub, with the aux help of probably 5-7 other editors (now gone), and i, not the vandals, am being told, quite paternalistically, to take my comments to the sandbox! unreal incompetence. did you see the admins jumping in on the RfC i started above? not one. but say """"sucks"""" somewhere, and they're falling over one another to get in on the action  wannabe cops, screwing the pooch while sporting supercilious smirks. where were you when we needed ya, admins? out treating intelligent adults as children, and pampering vandals (both the obvious and covert type). yeah, that's a plan for excellence. yet it's some mystery why wikipedia's getting slaughtered in the press these days. note to admins: i busted my ass on this article for days, getting the facts as straight and NPOV as they could be at the time (including verifying personally, while visiting louisiana, the ambush coordinates within 20 feet). if that's not worth something  if that doesn't give me some soundoff leeway  you're made of sludge.  """,0.71392286,0,0,0,0,0,0
3233,f0b29111f5646fc0,"I think this: The REAL Rudy is a stupid article because it's nothing but a forum to air political sniping, but it's all about a non-notable source.",0.82948744,0,0,0,0,0,0
3242,bbeab4bca2640ae0,"Ok..come with the proof of Paravar as toddy tappers.Any author of some other caste can write any thing bad about other caste.Stop saying that paravar as low caste.Come and say this at Tuthukudy to any paravar,if you are bold enough.We have sangam literatures,Scholarly researches(neutral researchers like P.T.Srinivasa Iyengar,N.Subhramanian and Hugh Nevil) and other stone and copper plate inscriptions to prove our regality.Ask about Paravars to Kondayam kottai Maravars,who were the protectors of Pandya kingdom.Thevars respect only the Paravars equalent to them.Dont speak rubbish of Paravars,with out knowing anything.Come and speak (argue) with your real name and caste name.Dont be cowardice as a bitch to make sound with out expressing your identity.Come with your F**king proofs.",0.7998049,1,0,1,0,0,0
3248,bf074bfbf4360e59,"Re. Maggie Smith ... 

 Your a fucking idiot!",0.9897058,1,0,1,0,1,0
3252,e364220576d03ae7,Criminal black man stereotype,0.7447624,0,0,0,0,0,0
3259,8f513d152029874f,"== National chauvinism in category space == 

 Man,  2.100.23.252 | this guy's like a bot really pissing me off. Can we undo his edits with a bot?",0.69542736,0,0,0,0,0,0
3267,9254c2e19589b76a,cock perfect for sucking,0.94992846,1,0,1,0,0,0
3270,3300f35199704216,"==Jewish comment== 
 I deleted the Jews are dumb comment.  I did not think the ant-Semitic comment was relevant. I do not know what the proper protocols are for this short of thing so I just fixed it. they were people who like to have lots of fun",0.7793046,0,0,0,0,0,0
3290,204c06b1d82e1227,"== premature ejaculation == 

 Strike-through text",0.82215375,0,0,0,0,0,0
3294,a60f3306e6146913,"== What a  == 

 bunch of baby raping cunts",0.9594415,1,0,1,0,1,0
3296,7b5add719b2a6f5b,"== Re: Edit war in progress == 

 They were playing the same stupid game as IvanOS was. Neither of them are anywhere close to newbies and they really should know better than to edit war over a single word whose existence or lack thereof has no meaning to the vast majority of English readers. It's just plain ridiculous that we have to look at that kind of nonsense over a glaring WP:ARBMAC hot-button issue. If anything, I could have made IvanOS' block a longer one, because I've previously applied blocks to them with no apparent result. YMMV; I see you're an admin, so you can adjust block lengths yourself.",0.7093121,1,0,0,0,0,0
3312,595ad306516e2a5b,":::Per your request to stay notified of current developments, see Eureka! We're all morons. - Dank",0.916269,1,0,0,0,0,0
3315,da4858e46a564ff9,"Stop vandalizing wikipedia, you dipwad!",0.794439,0,0,0,0,0,0
3317,408296f2c7e17745,"== 'contract signed' column == 

 I feel this is unnecessary and makes the table way too wide. Most rows now are two lines high, and the links for most purchases lead to the details anyway. If it wasn't such a pain in the ass to get rid of, I would probably do this now.",0.76955074,0,0,0,0,0,0
3318,9884bb8c95631e08,", do not force personal attacks by bias and by vandalizing the article while it is in dispute. This shows in fact that you are bias and are vandalizing this page. This is childish and proves your ignorance.",0.77264935,0,0,0,0,0,0
3329,c48fe9d983708d76,"""== school review from 6th grade student == 

 my reviw- i go to school at dag andthis is my 2nd year. There are no improvments and i do believed mr. rendolds to be fired. He is mean to children and a rasist.I dont like him at all. And Mrs. Ferrororo is the meanist teach that i have had in my whole life. Ask anyone on 7 - 3 she a bitch and no one likes her at all!! I want he tobe moved or fired and so do most students in that school. Mrs. cereta was much nicer but she has retired i be the teachers would like hergone too. I am annonymous. Peaceeee haha 

  
 I am a student. I want to make a point. Mr renalds IS RASIST!!!! here are 3 points to soport this statement and a fact. 
 -1he was giving a lecture and makeing and exaple that oy ushouldnt put the worst athlete at the end of pics everyday for your sports team. he said that mr. handy was slow and unathletic""""for and example"""" But he is not. 
 -2He yelled a t devin for caughing while he was talking. he thretend to give him a detention! 
 -3While another lecture he took out a black kid to make and """"example"""" That you shoudnt pick on people.he chose the black kid 

 Yahh!! i KNO!! My btother went and Mr/Renalds the FAGG!! Was werid!! he hit on my MOM!!And hes a married man DUDE!!! 

  

 Well i know almost nothing about the school. My brother went ther efor about a year and that was it. I cant agree that Mr.Renedls is rasist. but i cant not agree. But maybe he yelled because Devin was makeing to much nosie, or he was talking but i dont know.  —The preceding unsigned comment was added by     

 i do belive yoyu that this fuck is a rasist cuz i go there too. and you no your right 

 MOLLY VARNEY- NO ONE LIKES YOU GO FUCK YOURSELF YOU STUPID SKANK!!! yOU MY THINK YOU HAVE A LOT OF FRIENDS BUT NOT MANY ACUALLY LIKR YOU!! SO GET OVER YOURSELF AND BEA STUPID BITCH SOMEWHERE ELSE!""",0.9017942,1,1,1,0,1,0
3330,6e8b82d1d0c6a009,Screw you cal...i thlouggt we were friends...:( WHY cant WE be FRIENDS? why cant WEE be friends?,0.69542736,0,0,0,0,0,0
3353,ed86bc629d086ae1,"] 

 Hunt should be hung for what he did to Cech. I'm just glad Petr Cech is back. Death to Hunt and Reading fc",0.7093121,0,0,0,0,0,0
3360,82c46272aba41394,See my comment on the Lalla Ward image removal. I've not been a wikipedian for long but already I'm finding the image policy too restrictive.We need to do something about these rectums who keep deleting the images. It totally sucks bigtime,0.7892657,0,0,0,0,0,0
3363,a5fc3d76cf532bf9,"""::Uh, I would think the """"Van Anus"""" part would be immediately understandable as a little rude ...    
 """,0.8562066,0,0,0,0,0,0
3367,ee35143bac350bbc,""" 
 ::**Constructive criticism of articles are what Wikipedia needs. Calling anything """"crap"""" here serves no useful purpose. Furthermore, I don't see any bias here for her or against her, just a lot of verifiable historical information, that is commonly known by her supporters and detractors alike.  """,0.7698256,1,0,1,0,0,0
3373,b3dcc970e05b0784,::::You are.. ridiculous.,0.88824683,1,0,1,0,1,0
3387,ac18c6bb4b600baf,"Hey Buddy, You're A Faggot.",0.9328106,1,0,1,0,1,1
3400,7ff98a7f2aeeae4b,"== Die Americans Die.. == 

 For a people like you are shown, for love Bill Gates and George W. Bush and try to difame good people (Japaneses) I know your destiny: around 3 years you will be in the right place just a BOMB will explode and Al Qaeda will rox at suck american people like you. 

 Anti-Americanism Forever. If you love Microsoft, than you already know that you is a great lamer Windows-user.",0.7993542,0,0,0,0,0,0
3402,5b399e26d1370506,"yo bitch, shut up. this be MAH turf. vandalize again, and we break yo' FUCKING legs. Thank j00.",0.9799932,1,0,1,1,1,0
3419,c39188ffc79dcdba,AHAHHA LOL IM A DIRTY DOG,0.8337208,0,0,0,0,0,0
3423,88adf707b1c52454,"== Fuck you == 

 You reverted my edit that I worked so hard on. Fuck you, asshole",0.99182916,1,0,1,0,1,0
3428,5aa55f70a03b6782,Oh bitch is gonna block me better move to the next house ah hahaha,0.94971585,1,0,1,0,1,0
3439,c6b219d2a0a0fdcb,"== OH, YOU BIG BOY????????????????? == 

 OH, YOU BIG BOY????????????????? COME TO ME BIG BOY !!! YOU WANNA BE BIG BOY???? YOU WANNA BLOCK MY ACCOUNT??? STICK YOUR NOSE IN YOUR BUTT AND SNIFF !!",0.92294365,0,0,0,0,0,0
3447,aac04d8feb3e4b39,""" 
 :Left more detail under the review at Talk:Cripples, Bastards, and Broken Things/GA1‎.   """,0.744649,0,0,0,0,0,0
3452,1a85091afddb2ff3,"== thanks == 

 Hi Bugs, your comment in regard to me at ANI is greatly appreciated. No one gets it right all the time but we try, best regards to you.    

 == Sockpuppet case == 

 Hello! 

 This is to let you know that there has been a sockpuppet case raised at Wikipedia:Sockpuppet investigations/Jack Merridew from a report that you raised to WP:AIV   

 == You - Again! == 

 You are right buggy, I purposely made my last contact gibberish. Like you, I didn't refresh my memory, and realized after posting, and verifying your past content, that you use yiddish. So fly a kike, you moron!!! Also, that humor of your's at the bottom of your page - characterizing yourself as genius to the fourth power, is haha funny. Again, if you are such a genius, try editing or writing for Citizendium - you'll never make, unless they need an expert on stirring up trouble, and putting their two cents of know nothing opinions in where they are not wanted! Run along to your AN/I's now and see who else you can impress with your stupidity.    
 :Thank you for your valuable input. ← '''' →",0.94046736,1,0,0,0,0,0
3459,92594409da238de1,"Can you stop replacing the block periods with dollars, please? You can't put money in a computer, silly!",0.7686312,1,0,0,0,1,0
3461,c86128070860b6cc,BTW hes a fat cunt,0.979494,1,0,1,0,1,0
3472,54c3a3460f533492,"Did you come here because you have a problem with my name?  In that case, you're reading it wrong.  Shame on you and your dirty mind.",0.8355208,1,0,0,0,0,0
3474,d7d62cd3d02ecd1d,""" 

 == The Term """"Dick Joke"""" Used Figuratively == 
 In private conversations among professional comedians, I've heard the term """"dick joke"""" get used to refer to any facile dumb humor that gets dropped in, as dumb *as if* it were literally just dick jokes.  Example: In the middle of a conversation with a good and sustained level of humor, someone drops in some just distractingly stupid joke, and then being told """"dammit!, why do you always have to go right to the dick joke!?"""" (when the joke in question wasn't an actual dick joke at all, just dumb and vulgar). Or: """"(some name) is a HACK He goes up and does eight minutes of dick jokes and he calls that a set!"""" (...where that might not involve *any* actual dick jokes, but humor about no smarter than a bunch of dick jokes.)  Ironically, this entry's example of a dick joke """"A professor gives his psychology class a spot quiz..."""" wouldn't count as a dick joke in the sense I'm talking about too much setup, and not broad enough... at all.  Also, about as funny as a glacier.  Anyway, for my sense of """"dick joke"""", I have no citation whatsoever it has come up repeatedly in conversation as a term of jargon, but I'm not putting it in this entry, because, like I say, no citation.  But, folks, keep listening, because maybe the sense I'm talking about will show up in some comedian's podcast or something. (I would say """"keep an ear cocked!"""", but please, I have some self-respect! Oh, wait, no, there it went.) —  """,0.8606264,1,0,0,0,0,0
3475,25206c8bd97e7114,Who the hell are you and why do you keep vandalizing pages?,0.7093121,1,0,0,0,0,0
3476,49afcdbabb3d74fe,"====Vandalism==== 
 Enough of the wizard and gay porn vandalism.",0.8355208,1,0,0,0,0,0
3477,40bf944ddd5cfd90,"== Hey there, asshole == 
 What I was doing was distributing the truth, so go FUCK yourself you fucking asshole dickhead cunt shithead wanker cunting fucker knobchops. Revert my edit now you asshole dickhead cunthead fucker fucklet.",0.9909532,1,1,1,0,1,0
3478,4c928a5c51ade29b,SLUTS GALOREEEEEEEEEE!,0.82403713,1,0,0,0,0,0
3481,3b4991ed7e3d44fb,""" 

 __________________ 
 """""""" 
 This article sucks and should be rewritten in it's whole. It is as if a neonazi 6th grader wrote it... Stuff like this makes me sick. (  )""",0.8060606,0,0,0,0,0,0
3485,a994c982494d3815,""" 
 :::Well done! Remember not to fuck up! D  """,0.8785311,1,0,1,0,0,0
3492,e1850dc7aa01065b,"== f percy smith == 

 WHY THE FUCK IS f percy smith NOT MENTIONED IN THIS WIKI!!",0.9558533,1,0,1,0,1,0
3496,0552d47e38f0abca,realy OG BILL GATES AND IM HERE TO BLOW YOUR MIND WITH MY EXPLOSIVE BANKACCOUNT,0.68570864,0,0,0,0,0,0
3499,542e73acef8a0f6b,WOW. That's the silliest thing I ever heard.,0.6993242,0,0,0,0,0,0
3500,33e228ae2dd44297,:Wow.  He's FLIPPING AWESOME at that!!!!!  XANA's voice is so freak-me-out evil.  Next time you talk to him on LyokoFreak tell him he's doing a completely AWESOME job at XANA's voice.,0.69542736,0,0,0,0,0,0
3507,61fc9c5d962b8e98,is a highborn bastard,0.9132452,1,0,1,0,1,0
3509,1cdc97c53c63d92c,"== Melina pictures == 
 I see your point. But in interest to Melina that picture needs to be changed as soon as possible! So when she has a new one please can you change it, coz that picture is nothing short of ugly!",0.7246816,0,0,0,0,0,0
3524,8a27b1e7ef892e53,""" 

 Here it is below if the link doesn't work 

 ===  === 
 
 Posted by   on . 
 ==== Information ==== 
 ID: 8522 
 User:  
 Article: The X Factor (Australia season 2) 
 Time: 2010-11-02 14:43:26 
 Diff:  
 Heuristic: smallchange/obscenities 
 Regular expressions matched:  
 * 1 * """"/fuck/i"""" 
 * 1 * """"/fuck ((yo)?u|h(er|im)|them|it)/i"""" 

 Reason: making a minor change with obscenities 
 ==== What happened ==== 
 The song title in the wikilink actually contains an obscenity, which links to another page in wikipedia. This was corrected because another user inadvertently changed the song title from the obscenity to ***. This user made a good edit to remake the link back to the real title, and hence Cluebot has detected a false positive. 
 ==== Discussion ====""",0.7117825,0,0,0,0,0,0
3525,345da2585b80a7bf,""" 

 under one of the headers it says """"Immanuel Cunt"""" wrote...it should be immanuel kant, with the correct link.""",0.74911225,0,0,0,0,0,0
3534,fe3f6fedab9e7218,She's a little self obssessed and self righteous bitch that's all I think. - Me.,0.95323384,1,0,1,0,1,0
3538,d455e072be88e846,::::::::John's raison d'être is to be a poncey asshole who has to have the last word. He should be ignored.,0.89382225,1,0,1,0,1,0
3545,7c502292c31779bd,Now McNeight -labeled- me a tool and then didn't sign his comment-I think he is probably the biggest fool of all!!,0.8835117,1,0,0,0,1,0
3550,984c9371c4912112,""" 

  
 Are you dumb? just because you visited a country and to """"YOU"""" evrybody looked indian we are going to change it for what pleases you? NO! I bet you have never been there and by the sounds of it you sound like you don't like El Salvador so why are you here? The CIA world fact book FACT you read that FACT says their 90% meztiso 9% white 1%indegenous so they are reliable okay! 

 """,0.794439,1,0,0,0,1,0
3555,0c1ac5e3ef6731f2,"== LOL == 

 Wow, how stupid. I think this would really screw us up. It's just like painkillers, except, for the Earth. Solving the effects, not the cause. Not gonna work!",0.7787002,0,0,0,0,0,0
3558,6bf311447f8cb8e4,""" 

 ==time== 
 i have the clean version, so I can see how long every song is. the album is 55:50 in total. please don't change the time, because these are all songs off the official retail version - only clean, but it doesn't change how long every song is. words like """"fuck"""" """"shit"""" or """"bitch"""" or only muted.  """,0.90117514,0,0,0,0,0,0
3577,74cbeaa56be2c383,Tiger Woods has a lot of sex with lindsay vonn and fucks.,0.94921637,1,0,1,0,0,0
3582,e6d619c52f49abe7,"To be a Feminist is to hate men, just like being an Atheist is to hate religion and being a Ecologist is to hate humans.",0.768286,0,0,0,0,0,0
3593,a79ddf370899cc99,:Stop being such a rapist or we'll have to demote you to ltnono.,0.8060606,1,0,0,0,0,0
3600,1d5ec879e9dced66,"== he sux == 

 hahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahaha",0.8236223,0,0,0,0,0,0
3602,01b3bcfa50af3e68,kevin bravo is a faggot,0.9669811,1,0,1,0,1,1
3610,a4716e749730a8d8,"Still got it in Eastern Maine though(Calais, Machias, etc.). Poor suckers.",0.794439,0,0,0,0,0,0
3612,418951628fe424a6,"PMDrive 1061 - Thanks much for deleting the summary on the Seminoe Mountains greenstone belt. I' worked on this for quite some time and you deleted it with a rediculous statement that I had used copywrighted material (from government sources). Give me a break - with idiots like you, nothing much is going to come of this wiki project.  What gives you the right to make judgement of scientific data that is properly identified as being described in government (public domain) publications. Get screwed!!! I will have nothing more to do with this project!!!!",0.85151404,0,0,0,0,0,0
3615,8e60d4b653db8cc7,"Well, I can tell you that it's most common useage in the UK is as a euphemism for an erection...",0.72827435,0,0,0,0,0,0
3623,62ad5432e557bb81,"Dammit this thing's addictive - Italic textAn unnamed, senior Blaupunkt executive (retd)",0.85966927,1,0,1,0,0,0
3624,66b4c011547a7880,""" 

 Excuse you, but you aren't the sole judge as to what constitutes a good enough source. What I added doesn't even NEED a source to begin with, but since you insisted, I went ahead and found one. Are you seriously telling me that I have to PROVE that prison rapists aren't always gay? That's the most ridiculous thing I've ever heard. That's why Wikipedia always has and always will be trash. I'm so tired of coming on here and seeing gay bashing in so many articles. Go to the pages about black people and tell me if there's a criticism section. Gay people are human beings, and you all just continue to trample all over them. They aren't rapists, or child molesters, or horrible murders who wanna steal your children or """"turn"""" prisoners gay. Get the fuck over yourself. I'm going to continue with the sources that I find appropriate.   """,0.8583942,0,0,0,0,0,0
3636,b324731b55b7639f,""": The above inane and moronic comment ignores all aspects of modern scientific investigative procedures and guidelines for police work. First: The odds that the exercise that was actually held at ALL the exact same four locations not only """"indicate"""" prior knowledge by someone who planned the exersises, it SCREAMS prior knowledge. in investigative terme it makes it actual evidence of prior knowledge. Mathematically you could not ever come closer. Which can only lead us to one conclusion: You sir are either an idiot and or a shill/ agent provocateur. I say this because I'm tired of how these morons get off slandering people as """"conspiracy theorists, note his name calling and his derogatiove tone right through his comment. Secondly, the year prior to the London 77 Bombings the BBC aired its Panorama program, """"London Under Attack""""  (""""London under attack was broadcast on BBC One on Sunday, 16 May 2004 at 22:15 BST) This film was/is a mock exercise of what might happen in London if there was a terror attack now. 
 - it's """"wash tag"""" description goes as follows:  
 """"In a unique fusion of drama, detailed research and expert discussion Panorama puts Britain's emergency plans to the test. 
 Set in the future - but only just - the city of London is thrown into chaos by a series of terrorist attacks. 
 The fictional day of terror unfolds through the immediacy of rolling news bringing the catastrophic attack into our living rooms. 
 As events unfold, Panorama and a team of specialists reveal gaps in our preparations. The eight-strong team includes people with first hand knowledge of intelligence, emergency planning, police, fire, government and media management."""" 

 If you look closely at the program you can actually see that among the four(sic!)sites chosen for this mock up program, one of the sites """"coincidentally"""" and """"randomly"""" chosen to represent the """"terror"""" sites is actually tavistock square.. Again..  do we need to actually force feed people who are in denial the direct implications of these facts? We'll have to put people in prison for stupidity soon, because this is tantamount to being a danger to yourself and others. You Sirs should under absolutely NO, _no_ circumstances EVER, be _allowed_ to be a witness, under _any_ circumstances, not even in a case of shoplifting 10 pence candy!!!  

 To make a long explanation short: in propaganda """"expertise"""" circles this is considered a technique to make people subconsciously accept things they already """"recognise"""". Now for the rest of you idiots out there: do not bother questioning this information. It will only make you hurt more when you realise you've been mistaken. Go to youtube or google video and see """"ripple effect"""" before you  
 open your moths or start typing. That documentary is based ENTIRELY on open publicly available information.  

 Quick scan: No they could not have done it. The 7:40 train from Luton and the two next trains were cancelled so all trains were running late, too late to them EVER having been able to get into London in time for the bombings. i.e. Direct evidence that the police leadership is lying to you. There are 4 million cc tv cameras in London. A senior police officers noted as much in the first days and said there would be copious amounts of video footage of the four alleged perpetrators. insted there was NONE.  
 They hav ONE still frame of them. why is it a still frame? because the four men never reached London together so the frame had to be photoshopped, consequently they *CANNOT* show them MOVING together. This is the ONLY scientific investigative approach to the discrepancy between 4 million cc tv cameras and only one fram evidence. IF the government version and the police version WERE true, then ther WOULD be ABUNDANT amounts of EVIDENCE and video of them all over the place! 

 Again. Don't you DARE insult my or any other sane persons intelligence again. We'll make sure you get consequences if this world ever turns sane again. And believe you me, there will be a lot of people really angry about your moronic or not complicity in fogging up the _murder_ of innocent people.. 

 """,0.7685562,0,0,0,0,0,0
3639,62819b23976bebf8,""", 14 July 2011 (UTC) 
 :::::::I can't imagine who would buy such a book. So he exploited wikipedia's """"any moron can edit"""" philosophy in order to get his stupid image in wikipedia a lot. That says a lot more about him than it does about wikipedia. But he's likely too narcissistic to recognize that irony, and has probably never heard the expression, """"Fools' names and fools' faces are often seen in public places."""" (That's a quote I do not expect him to glom onto.) ← '''' → 01:54""",0.78269637,0,0,0,0,0,0
3640,579817f4fa5c8cc5,""" 

 == Stupidity == 

 There are so much stupidity in this event. First, 2 crazy people think they are """"messenger of god"""", then, a girl who supposed to be """"kidnapped"""" tried to help her captors. Nevertheless, both 3 of those people deserve no sympathy, even Elizabeth Smart because of their stupidity. I can't believe everybody feel sorry for that stupid girl and not that innocent man - Richard Ricci - who has been killed under suspicious circumstance while in custody for something he has never done. And the American government is also responsible for that """"religious freedom"""", I believe people should be free to follow any of the well-established religion. But to allow people to invent their own religion, that is purely stupid because people who invent their own religion either have mental problem and need help or trying to fool people to achieve their own goal (this goal is usually of financial, political or sexual nature).""",0.85645473,0,0,0,0,0,0
3647,f72bd332a0f83b2b,"== D R O P D E A D D A V E G E R A R D == 

 Do we have to put photos of every open source developer in the libraries they worked on? No other library article has photos of their developers in them, why don't you use your BRAIN for once? 

 You're truly a most stubborn ignorant ba stard that ever existed on this planet.",0.74012893,0,0,0,0,0,0
3652,31030c67c963f7ec,"well, i aint the one who tarted this dicussion Dumbass, and what are you tryin to say, threse no excuses in the wwe, 4th of july or not, a lot of wwe events take place on spaecial occasions and holidays, they receive an O.K. rating, and how dare you use bad words at me, Dumbass, i didnt come here to joke around, Dumbass!!!",0.78582036,0,0,0,0,0,0
